authors,confidence,decision,evidence,exclusion_reason,file_name,reasoning,title
Maura Kepper; Allison L'Hotta; Thembekile Shato; Bethany M. Kwan; Russell E. Glasgow; Douglas Luke; Andrea K. Graham; Ana A. Baumann; Ross C. Brownson; Brad Morse,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""A participatory design approach engaged users (n=14) and an expert panel (n=6) in an iterative design process from discovery to prototyping and testing.\"" - Methods: Overview and Guiding Design Framework / Participants and Recruitment"", ""A2 Iteration: \""We conducted five 90-minute design sessions conducted over Zoom from September 2022 to February 2023... Following design sessions, feedback from users were summarized and discussed to generate design decisions. A prototype was then built and heuristically tested with 11 users... After refinements to the platform were made, usability was reassessed with 7 of 11 same users to examine changes.\"" - Methods / Usability Testing"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Design Session 1: Discover... identify the need and demand for key issues this tool should address and explore potential features... personas... free list\""; \""Design Session 2: Ideate... utilized the Kano Model of Customer Satisfaction exercise for prioritization for the 25 features\""; \""Design Sessions 3-5: Wireframing... iteratively envisioning and creating wireframes of the features that were prioritized...\""; \""In the usability phase... prototype was tested with 11 users using a combined think-aloud and survey-based approach... test users completed the ten item System Usability Scale (SUS)... Usability was retested on the refined version...\"" - Methods: Design Process and Usability Results""], ""TASKS_elements"": [""\""Through this process, we learned that inclusion of users throughout the prototype build phase would have been beneficial, rather than waiting until the end to gain feedback on usability. This more iterative approach may have saved us time and financial resources by reducing the number of changes necessary after usability testing.\"" - Discussion - Why it shows a designer barrier: explicitly states a resource/process constraint (time and financial resources) experienced by the team that affected their design workflow and required adaptation."", ""\""There are several limitations to this work. ... we did not include community-based partners in our design sessions or usability testing. Subsequent usability testing will elicit perspectives from community-based partners to refine and tailor the tool to further support engagement with community partners.\"" - Limitations - Why it shows a designer barrier: lack of participant inclusion prevented the design team from conducting intended co-design activities with community partners, limiting their ability to complete design tasks."", ""\""We also did not test the tool with collaborative teams (i.e., a researcher and community partner reviewing the tool together) which limited our ability to assess the tool’s features and functions that were designed to facilitate collaboration and engagement.\"" - Limitations - Why it shows a designer barrier: explicitly describes participant access/testing gaps that limited designers' ability to evaluate collaborative features.""]}",,Kepper M - 2024 - Supporting Teams with Designing for Dissemination and Sustainability the Design Development and Usab.txt,"Condition A: satisfied - The paper documents active user involvement in co-design (n=14), explicit iterative cycles (five design sessions, prototype build, refinements, retest), and evidence of all four lifecycle phases (discover/understand, ideate, prototyping/wireframes, and evaluation/usability testing).; Condition B: satisfied - Authors report concrete designer-facing constraints: time- and cost-related consequences from delayed user inclusion, omission of community partners from design and testing, and lack of collaborative team testing that limited designers' ability to perform intended design assessments.; Final rationale: The study reports a full user-centered HCD cycle with iterative co-design and evaluation and also documents multiple designer-experienced constraints that impacted the design process; therefore it meets Condition A and Condition B and is included.","Supporting Teams with Designing for Dissemination and Sustainability: the Design, Development, and Usability of a Digital Interactive Platform"
"Bushra Khan, Waqas Hameed, Bilal Iqbal Avan",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""Maternity team representatives were regularly consulted, and their input sought, through this process.\"" - Methods: Procedure (Adaptation of mhGAP materials and development of psychosocial support modules)"", ""A2 Iteration: \""The draft capacity-building material went through two rounds of pretesting and deliberation.\"" - Methods: Ideation (Rounds of pretesting and deliberation)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""In inspiration, a review of national-level maternity service-delivery documents and in-depth interviews of maternity staff were conducted. Ideation involved a multidisciplinary team to develop capacity-building materials by adapting mhGAP... In implementation feasibility, materials were tested via the training of 98 maternity staff and exploring system feasibility via post-training visits to health facilities.\"" - Methods: Overview/Procedure""], ""TASKS_elements"": [""\""Participants realised the importance of this step in determining the needs of the woman and staff, but were unwilling to follow the detailed assessment process suggested by mhGAP-intervention guide because the overwhelming burden of their current work left them no time for it, and because they considered it beyond their expertise. They suggested that we identify a quick way of determining mental health status.\"" - Results: Ideation (Pretesting) - This shows a designer-facing constraint where participant workload and limited expertise prevented use of the planned assessment tool, forcing designers to adapt to briefer instruments."", ""\""In the initial training sessions, it was challenging to cover all group-based activities in the given time. We therefore converted several activities—e.g., on the topic of anger—into discussion-based work.\"" - Results: Implementation feasibility (Training of staff) - This documents a time/resource constraint encountered during implementation that required designers to modify training delivery."", ""\""Our research was limited by omitting psychological interventions included in mhGAP. The non-specialised personnel for whom we developed the modules didn’t have sufficient time for such complex and lengthy processes.\"" - Discussion/Limitations - This limitation affected the designers' ability to include full mhGAP interventions, demonstrating a constraint on design scope imposed by staff capacity and time.""]}",,Khan et al. - 2023 - Psychosocial support during childbirth Development and adaptation of WHO s Mental Health Gap Action.txt,"Condition A: satisfied - The paper documents active involvement of maternity staff in understanding needs (in-depth interviews), collaborative ideation (deliberations, prototypes), iterative pretesting (two rounds), and evaluation (training of 98 staff, pre-post assessment, post-training visits and endline interviews).; Condition B: satisfied - The authors report multiple designer-facing constraints (staff workload limiting assessment, training time constraints requiring activity modification, and omission of psychological interventions due to staff capacity/time) that directly affected adaptation and implementation choices.; Final rationale: The study reports a full HCD cycle with explicit user involvement, iterative development, prototyping and evaluation, and it documents concrete constraints experienced by the design/implementation team that influenced the adapted materials and implementation approach; therefore it meets Condition A and Condition B and should be included.",Psychosocial support during childbirth: Development and adaptation of WHO’s Mental Health Gap Action Programme (mhGAP) for maternity care settings
Kamran Khowaja; Wafa Waheeda Syed; Meghna Singh; Shahrad Taheri; Odette Chagoury; Dena Al-Thani; Michaël Aupetit,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""The workshop was conducted to gather some of the potential users to generate ideas for the prototype taking the local needs into account. The objective of the workshop was to learn about nurses’ perception of how visual analytics may enable them to promote lifestyle change and provide better advice to patients based on the activity data that would be collected from the patient’s wearable (smartwatch). The session ... included a brainwriting session, where nurses in groups provided their input on desired information and computer technology solutions to support patient lifestyle changes.\"" - Methods, UX1: Users’ Evaluation Workshop 1 With Nurses"", ""A2 Iteration: \""The users and their needs increased over time as studies were conducted as a part of this research and ActiVis was accordingly modified and reported in different sections of this research... The development of any technological solution is not an easy task... The data collection and analysis methods vary from one study to another due to various constraints ... which is refined progressively through the development cycles.\"" and \""each study on a prototype with health care professionals provided feedback, which was used as a requirement to design an improved version as the next prototype.\"" - Methods, Overview / Ethics Approval"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Stage 1: Define a 'Persona'... Stage 2: Describe a typical scenario... Stage 3: Imagine the technologies... Stage 4: Rewrite the scenario...\"" showing ideation via brainwriting; \""The first user experiment (UX1) was a workshop conducted with nurses ... to gather detailed requirements, personas, and usage scenarios, to design and develop the second RP of ActiVis (RP2) together with a set of 6 use cases\"" showing understanding; \""We developed 2 versions of the ActiVis interface... RP1... RP2...\"" showing prototyping; and \""UX2.1... UX2.2... UX2.3...\"" with expert evaluations, heuristic walkthroughs, and comparative usability workshops showing evaluation. - Methods (UX1 brainwriting stages; RP1/RP2 descriptions; UX2 studies)""], ""TASKS_elements"": [""\""The data collection and analysis methods vary from one study to another due to various constraints such as the availability of the target users and the initial uncertainty in the direction of the project, which is refined progressively through the development cycles.\"" - Methods, Overview - Why it shows a designer barrier: Explicitly reports availability of target users as a constraint that varied methods and forced progressive refinement, indicating designers had to adapt their process because of limited user access."", ""\""It has been difficult to plan several of the studies in advance. The use of the opportunistic approach allowed us to use the available local health care professionals throughout the design, development, and validation of RPs presented in this paper.\"" - Discussion, UX1/General PD reflections - Why it shows a designer barrier: States planning difficulties that forced opportunistic recruitment and scheduling, evidencing process constraints experienced by the designers."", ""\""several participants were used in each study that was mainly dependent on multiple factors, including availability based on their routine clinical appointments, meetings, and teaching.\"" - Limitations - Why it shows a designer barrier: Indicates participant availability (access issues) limited recruitment and scheduling, affecting how designers could conduct studies and iterations.""]}",,Khowaja et al. - 2022 - A Participatory Design Approach to Develop Visualization of Wearable Actigraphy Data for Health Care.txt,"Condition A: satisfied - The paper documents active user involvement (brainwriting workshops, persona development, expert walkthroughs), explicit iterative cycles (RP1 -> UX1 -> RP2 -> UX2.* -> RP3 planning), and evidence of all four lifecycle phases (understanding via workshops, ideation via brainwriting/use cases, prototyping RP1/RP2, and multiple evaluations/heuristic studies).; Condition B: satisfied - The paper reports designer-facing constraints: limited availability of target users, difficulty planning studies in advance, and opportunistic recruitment dependent on clinicians' schedules, which affected data collection methods and iterative planning.; Final rationale: The study meets the full HCD cycle requirements and reports concrete designer-facing task/process constraints (participant access and planning issues) that impacted the design process; therefore it should be included.",A Participatory Design Approach to Develop Visualization of Wearable Actigraphy Data for Health Care Professionals: Case Study in Qatar
Degif Teka; Yvonne Dittrich; Mesfin Kifle,High,Exclude,"""HCD_fullcycle"": [""Meta-study indicator: 'an action research approach has been complemented by a survey and interviews with other companies.' - Abstract""], ""TASKS_elements"": [""'an action research approach has been complemented by a survey and interviews with other companies.' - This phrase indicates the authors conducted interviews/surveys with other companies, meeting the meta-study exclusion criterion (analysis/interviews of other design teams).""]}",Meta-study analyzing others' design work,Kifle M. et al. - 2017 - Contextualizing user centered design with agile methods in Ethiopia.txt,"Meta-study: The paper explicitly states it was 'complemented by a survey and interviews with other companies,' which fits the meta-study exclusion rule (analyzing/interviewing other design teams).; Condition A: not assessed due to immediate exclusion on meta-study grounds.; Final rationale: Immediate exclusion per rule 1 because the study includes interviews/surveys of other companies' design work, matching the specified meta-study exclusion criterion.",Contextualizing User Centered Design with Agile Methods in Ethiopia
Sunyoung Kim; Yunoh Park; Matthew K Ackerman,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""We conducted one-on-one interviews with the same group of participants to receive feedback on the prototypes. In the interview, we first introduced our app ... We displayed our prototypes on a shared screen and asked participants to think aloud and express their thoughts and feelings while freely exploring the prototypes as much as they wanted.\"" - Methods: Iterative Design and Evaluation"", ""A2 Iteration: \""Based on our prototype sketches, collected requirements, and feedback in the previous steps, we iteratively created a set of wireframes that were then developed into high-fidelity prototypes ...\"" - Methods: Iterative Design and Evaluation"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""We reviewed existing apps for indoor air quality monitoring or asthma management for children and conducted two sets of semistructured interviews with 12 children with asthma. We then iteratively created prototypes and evaluated and revised them.\"" - Abstract / Methods Overview""], ""TASKS_elements"": [""\""Our original plan was to conduct participatory design workshops for idea exploration and run in-person interviews to evaluate an interactive high-fidelity prototype. However, due to the CDC recommendations for social distancing during COVID-19, we canceled the workshops and instead conducted all interviews one-on-one virtually.\"" - Limitations - Why it shows a designer barrier: This documents a constraint that forced cancellation of planned participatory workshops and required a shift to virtual methods, directly affecting the designers' ability to carry out intended design activities."", ""\""When we showed our sketch prototypes to participants during the first interview, the overall response was positive on both prototypes, although they did not provide detailed feedback. It might be because the low-fidelity prototypes missed many details making it difficult for children to offer exhaustive responses.\"" - Results: User Needs and Feedback on Sketch Prototypes - Why it shows a designer barrier: Designers experienced limited actionable feedback due to low-fidelity prototypes, which impeded early evaluation and required further iterations to obtain richer input.""]}",,Kim et al. - 2021 - Designing an Indoor Air Quality Monitoring App for Asthma Management in Children User Centered Desig.txt,"Condition A: satisfied - The paper reports active user involvement (semistructured interviews with children that informed design), explicit iterative refinement cycles (sketches -> wireframes -> high-fidelity prototypes -> revisions), and evidence of all lifecycle phases (understanding user needs via interviews, ideation/concept generation, prototyping, and evaluation via cognitive walkthroughs and think-aloud sessions).; Condition B: satisfied - The authors report designer-facing constraints: COVID-19 forced cancellation of planned participatory workshops and replacement with virtual interviews (affecting planned design activities), and low-fidelity prototypes limited the depth of participant feedback, both of which impacted the designers' execution of the project.; Final rationale: Both the full HCD cycle (Condition A) and at least one designer-experienced task/constraint (Condition B) are documented in the provided sections, so the study meets inclusion criteria.",Designing an Indoor Air Quality Monitoring App for Asthma Management in Children: User-Centered Design Approach
"Mihui Kim, Yesol Kim, Mona Choi",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""Therefore, this study included patients with PAD in the development process (Phases 1 and 3), accurately assessed their requirements and priorities with regard to smartphone apps for behavior change, and evaluated the usability of the smartphone app.\"" - Methods (overview)"", ""A1 User Involvement: \""The semi-structured interviews were conducted on 15 participants...\"" and \""For the questionnaire-based survey, 138 patients were recruited...\"" - Methods, Phase 1 Needs assessment"", ""A2 Iteration: \""The software development process was based on iterative development using a user-centered design approach to promote behavior change, which involves the following three phases: analysis, design, and implementation.\"" and \""This iterative development process is continued until the software reaches a prespecified satisfactory level ... teamwork is emphasized to develop, test, modify, and retest periodically during the process\"" - Methods (process description)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): Understanding: \""The semi-structured interviews...\"" and \""138 patients participated in the survey...\"" - Methods, Phase 1 Needs assessment; Ideation: \""The initial prototype was constructed based on the users’ requirements...\"" - Methods, Phase 2 Prototype; Prototyping: \""A smartphone app was developed on the Android operating system (version 4.4 or higher).\"" and \""The initial version of the platform was built and tested to ensure it was bug-free by the authors.\"" - Methods, Phase 2 Prototype; Evaluation: \""The heuristic evaluation of the smartphone app was performed by four experts...\"" and \""User evaluation was performed by four nurses and three patients with PAD...\"" (SUS and open-ended questions) - Methods, Phase 3 Heuristic evaluation / User evaluation""], ""TASKS_elements"": [""\""First, the smartphone app was only available for the Android operating system. ... the authors chose to develop an Android smartphone app that could be used by more patients, owing to limited resources.\"" - Limitations - [Shows a resource limitation that constrained designers' platform choice (could not develop iOS version due to limited resources)]"", ""\""Finally, the smartphone app was developed to synchronize with Fitbit Charge 4. Therefore, an additional development process is required when synchronized with other commercial wearable activity trackers.\"" - Limitations - [Shows a technical integration constraint limiting interoperability and requiring extra development effort to support other trackers]""]}",,Kim et al. - 2022 - Mobile health platform based on user centered design to promote exercise for patients with periphera.txt,"Condition A: satisfied - Users were actively involved through interviews and a large survey (A1), the development process is explicitly iterative with testing and modification cycles (A2), and all four lifecycle phases are evidenced (user understanding, ideation/prototype, prototyping, expert and user evaluation) (A3).; Condition B: satisfied - The authors report explicit resource constraints that affected design decisions (Android-only) and technical integration limits (Fitbit-only), both constituting designer-facing barriers.; Final rationale: Both Condition A (full HCD cycle) and Condition B (designer-facing task/constraint evidence) are met based on statements in Methods and Limitations, so the study is included.",Mobile health platform based on user‑centered design to promote exercise for patients with peripheral artery disease
"Kim, M.J.; Schroeder, S.; Chan, S.; Hickerson, K.; Lee, Y.-C.",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""During the design phase, each round of user testing included a mix of surveys, concurrent think-alouds, and interviews to gather user feedback on the prototypes.\"" - Abstract / Methods"", ""A2 Iteration: \""Our three rounds of user testing—each followed by refinements of our prototype—represented multiple iterations of the design thinking process.\"" - Methods (2. Materials and Methods)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Prior to designing, our team undertook a discovery process that involved creating personas, conducting a competitor analysis and heuristic evaluation of existing apps, along with interviews with acid reflux patients. Then, we created a low-fidelity prototype, which was revised on the basis of several rounds of user testing... Lastly, an evaluation phase consisting of gathering feedback on the user-centered design approach from user experience experts and medical doctors specialized in GERD was conducted.\"" - Abstract / Methods""], ""TASKS_elements"": [""\""Due to the time limitations imposed by the 2021 Mobile Health Applications for Consumers Design Competition, we recruited a convenience sample from among our personal social circles using social media to find contacts who experienced acid reflux symptoms.\"" - Methods (2.1.2) - Shows a designer-facing constraint (time limit) that forced use of convenience sampling and limited recruitment options."", ""\""We did not create a high-fidelity prototype with live functions for the participants to use... due to financial and time limitations\"" - Discussion / Limitations - Shows resource limits (time and funding) that prevented designers from producing a higher-fidelity prototype for testing."", ""\""We emailed a link to our survey to a total of 25 experts... Two experts submitted answers to all 17 questions. Seven respondents began to complete the survey questions but stopped before providing any open-ended input\"" - Methods (2.2.2) - Demonstrates participant access/engagement issues with expert recruitment that limited expert feedback to designers."", ""\""Another important limitation of the GerdHelper app is the lack of input from medical experts throughout the design process.\"" - Discussion - Indicates a skill/knowledge gap in the design team (absence of medical professionals) that constrained design decisions and required adaptation.""]}",,Kim et al. - 2022 - Reviewing the User Centered Design Process for a Comprehensive Gastroesophageal Reflux Disease GERD.txt,"Condition A: satisfied - The paper documents active user involvement (interviews, think-alouds, surveys integrated into design), explicit iterative refinements across multiple rounds, and activities covering understanding (personas, interviews, competitor analysis), ideation (team meetings, design-thinking), prototyping (low- and medium-fidelity Figma prototypes), and evaluation (user testing, expert/judge feedback).; Condition B: satisfied - The authors report designer-facing constraints including time and financial limits that shaped methodological choices, limited and convenience sampling of participants, low expert survey response rates, and lack of medical experts on the team, all of which affected their ability to conduct or extend design activities.; Final rationale: Both the full HCD cycle (A) and at least one designer-facing task/constraint (B) are evidenced explicitly in Methods, Results, Discussion, and Limitations. Therefore the study meets inclusion criteria.",Reviewing the User-Centered Design Process for a Comprehensive Gastroesophageal Reﬂux Disease (GERD) App
"Jayde King, John Kleber, Ashlee Harris, Barbara Chaparro, Beth Blickensderfer",High,Exclude,"""HCD_fullcycle"": [""A1 User Involvement: \""We used a user-centered design process which involved an initial task analysis, low-fidelity prototyping, low-fidelity usability testing, user interviews and expert review.\"" - Methods/Study overview"", ""A2 Iteration: \""The PWDST underwent four major phases of review and modifications... Next, the PWDST underwent an iterative process including a series of expert reviews and modifications.\"" - PWDST Development (Methods)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""we interviewed a series of private pilots and instructors to gain a better understanding of common hindrances to novice pilots while preflight weather planning\"" (Understanding) ; \""Through the use of target market feedback and Subject Matter expert guidance, we developed the first PWDT prototype\"" (Ideation) ; \""The Preflight Decision Support Tool was wire-framed using Google Drive App Draw.io and the high fidelity mockup was created with AXURE software student license\"" (Prototyping) ; \""Participants (n=9) completed a usability study and a series of surveys during, as well as, after the completion of the preflight planning scenario.\"" (Evaluation) - PWDST Development / Materials / Procedure / Results""], ""TASKS_elements"": []}","Condition B not satisfied - no designer-facing difficulties or constraints reported in Methods, Results, Discussion, or Limitations",King J. et al. - 2019 - Preflight Weather Decision Support Tool PWDST User Centered Design Process and Usability Validation.txt,"Condition A: satisfied - The paper documents user involvement (interviews, task analysis, usability testing), explicit iteration (four phases, iterative expert reviews), and evidence of all lifecycle phases (understanding via interviews/task analysis, ideation leading to a prototype, prototyping with wireframes and Axure, and evaluation via a usability study).; Condition B: not satisfied - The manuscript does not report any designer-facing difficulties, constraints, or barriers (no resource limits, participant access problems affecting design, cognitive/emotional strain on designers, skill gaps, or process/technical issues) in Methods, Results, Discussion, or Limitations.; Final rationale: Although the study meets the full HCD cycle criteria (Condition A), it fails Condition B because there is no documented evidence of challenges experienced by the designers during the project; therefore it is excluded.",Preflight Weather Decision Support Tool (PWDST): User-Centered Design Process and Usability Validation
Chalermpon Kongjit; Acrapol Nimmolrat; Achara Khamaksorn,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""UCD methodology was used to design a graphical user interface, analyse the application’s functionality, and enhance its usability. Data from thirty female end-users were collected and maintained locally, and thirteen information technology (IT) experts provided feedback on the prototype trial. Interviews and questionnaires were used to gather user data and identify problems.\"" - Methods"", ""A2 Iteration: \""In the first round of testing, the scores from the questionnaire were analysed to summarise users’ feedback and a t-test statistical analysis was applied to compare the average scores. The prototype was then refined based on the specific points raised in these findings. This process was repeated for the revised prototype, and again the data derived was analysed.\"" - Prototype evaluation / Methods"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Context of use specification: ... 30 general users were given 10–20 min to test each of the 50 apps over a period of 30 days... A single focus-group was arranged with the general users, and ... 30-minute interviews were conducted via Zoom ... The feedback was then analysed and classified to build a taxonomy of the problems...\""; \""Production of required design solutions: ... a prototype application with female-related content was developed ... using the MockingBot program.\""; \""Prototype evaluation: Individual users were sent the link ... to access the first version of the prototype app for installation and evaluation ... asked to test it for 30 min and then provide feedback in a questionnaire.\"" - Methods / Production of required design solutions / Prototype evaluation""], ""TASKS_elements"": [""\""First, the study sample was restricted to a single group of end-users (educated women who use smartphones and live in Chiang Mai); this limited the number of end-users and IT experts available.\"" - Limitations - This indicates a recruitment/resource limitation that constrained designers' ability to obtain diverse participant input."", ""\""Second, due to the limited number of participants mentioned above, it could be said that the test evaluation criteria were modified to recruit sufficient research participants (e.g. The number of questions was reduced).\"" - Limitations - Shows the limited sample forced designers to change evaluation methods, directly affecting design activities and data collection."", ""\""Lastly, two iterations to improve the application design are insufficient to revise the application prototype adequately. A third session of product testing and revision would be advantageous.\"" - Limitations - Indicates process constraint (insufficient iteration) that limited designers' ability to fully refine the prototype."", ""\""Note that devices were not supplied, and connection costs were not supported in this research. Users had to install the apps on their own mobile devices.\"" - Methods (Context of use specification) - A resource constraint that could limit participant access and the designers' ability to control testing conditions, affecting data and iteration."", ""\""Video recording was not permitted in this research due to ethical reasons. However, four staff took notes of respondents’ answers during the focus group.\"" - Methods - A data-collection constraint that limited the designers' ability to capture full observational data, impacting analysis and design decisions."", ""\""The findings indicated limitations in the mobile development experience of some of the IT experts in this study.\"" - Methods (Experimental sample) - Reflects skill/knowledge gaps among project contributors that could have constrained design and development activities.""]}",,Kongjit et al. - 2022 - Mobile health application for Thai women investigation and model.txt,"Condition A: satisfied - The study documents active user involvement (focus groups, interviews, iterative feedback from 30 end-users and 13 IT experts), explicit iteration (first prototype, refinement, second evaluation), and all four lifecycle phases (context understanding, requirements/ideation, prototyping, and evaluation).; Condition B: satisfied - Multiple designer-facing constraints are reported (limited and geographically narrow sample forcing modification of evaluation criteria, resource constraints like no supplied devices, prohibition on video recording, limited development expertise among some experts, and insufficient number of iterations), which affected designers' ability to perform design activities.; Final rationale: The paper reports a full UCD cycle with documented iteration and shows concrete constraints that impacted the design process; therefore it meets both Condition A and Condition B and should be included.",Mobile health application for Thai women: investigation and model
"Richelle J. Koopman, Shannon M. Canfield, Jeffery L. Belden, Pete Wegier, Victoria A. Shaffer, K. D. Valentine, Akshay Jain, Linsey M. Steege, Sonal J. Patil, Mihail Popescu, Michael L. LeFevre",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""We iteratively tested and refined the visualization in a series of 7 formative design focus groups, with 5 iterations to reach the final prototype\"" - Patient and physician focus groups (Methods)"", ""A2 Iteration: \""After iterating to a final prototype (Fig. 4), we conducted three confirmatory focus groups and a key informant interview as a member check.\"" - Patient and physician focus groups / Methods"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Understanding: pre-focus group surveys and focus groups to identify needs; Ideation: 'To create initial candidate designs, our multidisciplinary team used a deep dive approach' (Interface design); Prototyping: 'we first designed several candidate data visualizations' (Interface design); Evaluation: 'conducted three confirmatory focus groups... as a member check' (Patient and physician focus groups)\"" - Methods / Interface design / Results""], ""TASKS_elements"": [""\""However, physicians indicated a concern that their personal effort expenditure for physician-entered annotations might outweigh the benefits of entering annotations manually. They preferred drop-down list options within their existing workflow or automated population of relevant data. They were also concerned about the potential for voluminous patient-entered annotations.\"" - Qualitative results (Data visualization features) - Shows a process/workflow constraint that forced designers to seek automated or lower-effort annotation solutions rather than manual entry"", ""\""Thus far, we have not been able to incorporate annotations to the visualization. Work remains for us to identify ways to add annotations that fit into physician workflow...\"" - Discussion - Shows an implementation/technical limitation that prevented designers from delivering the intended annotation feature during the project"", ""\""we were also concerned that the presence of physicians in mixed focus groups might effectively diminish the voice of the patient participants, especially if logistics did not allow matching of patients with their own physician... in addition to being logistically prohibitive among these returning participants\"" - Discussion - Shows a logistical/resource constraint that limited methodological options (mixed focus groups) during the design process"", ""\""We also need to add Bluetooth capability for home blood pressure devices to the patient portal. Our algorithms are equipped to handle large amounts of blood pressure data, but it is inevitable that Bluetooth upload from devices will introduce new challenges.\"" - Discussion - Shows anticipated technical integration challenges affecting implementation""]}",,Koopman R.J. et al. - 2020 - Home blood pressure data visualization for the management of hypertension Designing for patient and.txt,"Condition A: satisfied - The paper documents active user involvement (multiple patient and physician focus groups shaping design), explicit iteration (5 iterative rounds, confirmatory member checks), and the full lifecycle (user needs elicitation, ideation/deep dive design, prototyping of candidate visualizations, and evaluation via formative and confirmatory focus groups).; Condition B: satisfied - The manuscript reports concrete designer-facing constraints and implementation issues (annotation feature not yet implemented due to workflow/technical barriers, physician workload concerns shaping design choices, logistical prohibitions on mixed focus groups, and required Bluetooth integration challenges).; Final rationale: The study reports a full user-centered design cycle with iterative co-design and evaluation by patients and physicians and also documents multiple designer-oriented constraints and technical/logistical barriers that affected design decisions and implementation; therefore it meets both Condition A and Condition B and should be included.",Home blood pressure data visualization for the management of hypertension: designing for patient and physician information needs
